user_search,Name,Price,Date,Location,daily,link,timestamp
iphone 15 pro,IPhone 15 Pro Max 256Gb super clean in excellent condition,"USD 1,030",2 weeks ago,"Furn Al Chebak, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Iphone 15 pro max 256gb,USD 999,6 days ago,"Dekwaneh, Metn",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iphone 15pro max 256G used 3 months,"USD 1,100",6 days ago,"Hazmiyeh, Baabda",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,IPHONE 15PROMAX 512GB NEW,"USD 1,270",1 week ago,"Hazmiyeh, Baabda",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iphone 15 pro max copy,USD 70,10 hours ago,"Dahr el Ain, Koura",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,IPhone 15 Pro Max 256Gb Brand new sealed natural color,"USD 1,199",13 hours ago,"Furn Al Chebak, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iPhone 15 Pro Max - 256 GB,"USD 1,150",13 hours ago,"Zahle Town, Zahle",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,Iphone 15 Pro 512GB,USD 999,14 hours ago,"Haret Hreik, Baabda",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iphone 15 pro max,USD 975,16 hours ago,"Jdaide, Metn",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,IPhone 15 Pro Max 512GB super clean in excellent condition,"USD 1,150",16 hours ago,"Furn Al Chebak, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iPhone 15 pro,USD 780,2 days ago,"Hadath, Baabda",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iPhone 15 pro,USD 925,2 days ago,"Borj el Barajneh, Beirut",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,cover for iphone 15 pro,USD 5Negotiable,2 days ago,"Harat Saida, Saida",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,cover iphone 15 pro,USD 2Negotiable,2 days ago,"Harat Saida, Saida",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iphone 15 pro max 512gb,"USD 1,075",3 days ago,"Baouchriye, Metn",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
iphone 15 pro,iPhone 15 pro 256gb with box everything original battery 88 percent,USD 840Negotiable,5 days ago,"Khaldeh, Aley",True,https://www.dubizzle.com.lb/ads/q-iphone-15-pro//?page=1,2025-04-02 07:50:13
